id,title,overview,genres,release_date,budget,revenue,runtime,original_language,popularity,vote_average,vote_count,status,tagline,homepage,keywords,production_companies,production_countries,spoken_languages
tt0101616,Coolie No. 1,In order to avenge his insult against wealthy Hoshiarchand Choudhary; Pandit Shaadiram Gharjodhe asks Raju; a coolie by profession to masquerade as a wealthy business tycoon so that he can get marry to Choudhary's daughter Malti.,"[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Romance""}]",1995-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0137100,Maya,"A beautiful, wealthy woman's insatiable appetite for romance leads to tragedy and a police investigation.","[{""name"": ""Drama""}, {""name"": ""Mystery""}, {""name"": ""Romance""}]",1993-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt3495000,Mardaani,"A story of Shivani Shivaji Roy, Crime Branch, who sets out to confront the mastermind behind a child trafficking mafia.","[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",2014-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0499041,Kalyug,"A newly married couple is caught on camera during their honeymoon. When the wife commits suicide after the video is released on internet, the husband sets out to seek revenge.","[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",2005-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt26762684,Yeh Shaadi Nahi Ho Sakti,Lovers Priya and Lakshman who can't get married till Priya's elder sister Pallavi does. Lakshman devises an elaborate plan where they hire an NRI groom to woo Pallavi.,"[{""name"": ""Comedy""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0378025,Hawayein,"Set against the backdrop of the 1984 Sikh genocide, Hawayein is a 2003 film directed by Ammtoje Mann. The film is based on some real-life events and features the impact of Operation ...                See full summary »","[{""name"": ""Drama""}, {""name"": ""Romance""}]",2003-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0379272,Ek Jaan Hain Hum,"While trying to win over his beloved's parents, a young man is accused of arson, and his father soon realizes insanity may be his only defense.","[{""name"": ""Family""}, {""name"": ""Romance""}]",1983-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt13723562,420 IPC,"In this ZEE5 Original film, CA Keswani is arrested for bank fraud and forgery. Keswani hires Birbal, a lawyer, to fight his case, but Birbal realises that there's more to it than meets the eye.","[{""name"": ""Crime""}]",2021-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt6843812,Baaghi 2,"A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa, India.","[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",2018-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt2609218,Ragini MMS 2,A sleazy film director's decision to shoot his latest erotic horror movie in a notorious haunted house angers the vengeful spirit of its past inhabitant.,"[{""name"": ""Horror""}]",2014-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0118673,Bade Miyan Chote Miyan,"Arjun and Pyare Mohan are honest policemen who work together. Trouble follows when thieves Bade Miyan and Chote Miyan, look-alikes of Arjun and Pyare, commit crimes and the hapless duo are blamed for it.","[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Musical""}]",1998-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0457802,The Blue Umbrella,"In a small village when a little girl's prescious umbrella is stolen, things goes wrong for a greedy tea seller who was very much interested in buying that umbrella from her.","[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Family""}]",2005-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt22152120,Operation Valentine,"Operation Valentine is a patriotic, edge-of-the-seat entertainer and will showcase our Air Force heroes on the front-lines and the challenges they faced as they fought one of the biggest, fiercest aerial attacks that India has ever seen.","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Thriller""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0254179,Betaab,"A young man (Sunny Deol) and woman (Amrita Singh) fall in love, but face obstacles from their families.","[{""name"": ""Family""}, {""name"": ""Romance""}]",1983-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt1375789,Race 2,Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.,"[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Thriller""}]",2013-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt4485366,Monsoon,The movie revolves around the story of a 15 year old guy who falls in love with a 28 year old lady. The lady is now a widow as her husband who was a forest officer died while he was on duty...                See full summary »,"[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Romance""}]",2015-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt1703958,Ek Main Aur Ekk Tu,A few drinks too many leads an uptight architect and quick-witted hairstylist to marry in Las Vegas. Can a mistake lead to friendship and love?,"[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Romance""}]",2012-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0250690,Refugee,A young man who smuggles illegal weapons and people back and forth over the borders between India and Pakistan falls in love with a young woman whose family he helped.,"[{""name"": ""Drama""}, {""name"": ""Musical""}, {""name"": ""Romance""}]",2000-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt11112760,Crack,Add a Plot,"[{""name"": ""Drama""}]",,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt9248934,Marjaavaan,Raghu and Zoya are enjoying their lives together until a gang leader with harmful intentions turns their world upside down.,"[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Romance""}]",2019-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt27431598,Bramayugam,Add a Plot,"[{""name"": ""Horror""}, {""name"": ""Thriller""}]",2024-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt4500734,Ek Paheli Leela,"Two lovers, having been denied true love 300 years ago, are reincarnated in order to correct that wrong.","[{""name"": ""Mystery""}, {""name"": ""Romance""}, {""name"": ""Thriller""}]",2015-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt1455816,Prince,A wanted thief races against time to find an antique coin after he commits the biggest heist of his life and wakes up the next day with no memories.,"[{""name"": ""Action""}, {""name"": ""Sci-Fi""}, {""name"": ""Thriller""}]",2010-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0268449,Mehbooba,"A singer by profession, Suraj (Rajesh Khanna) gets stranded in resthouse in the coutnryside during a rainstorm. While there he experiences ununsual feelings, as if he has been there before....                See full summary »","[{""name"": ""Drama""}, {""name"": ""Romance""}]",1976-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt13540894,My Friend Ganesha 4,Add a Plot,"[{""name"": ""Comedy""}]",2020-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt1242782,Luck,"An underworld kingpin recruits people endowed with 'Luck' from across the globe to take part in a series of challenges designed to test their 'Luck' factor, as gamblers around the world bet on them.","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Drama""}]",2009-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0222270,Phir Bhi Dil Hai Hindustani,"In order to seek justice for a man who exacts vengeance on a politician, who was responsible for his daughter's death, two rival reporters teams up to help him to prove his innocence.","[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Musical""}]",2000-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt2476154,Grand Masti,"Meet, Prem, and Amar look to have a blast at their college reunion, though they soon find themselves in another predicament.","[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Thriller""}]",2013-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0078222,Seeta Aur Geeta,"Long-suffering heiress Seeta is treated worse than a servant by her abusive money-grubbing aunt. Meanwhile, her long-lost twin sister Geeta grows up to be a gutsy street performer. One day, the girls unintentionally swap places.","[{""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Drama""}]",1972-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0140399,Muthu,"The movie is about a loyal servant, Muthu (Rajni), working for Zamindar Malayasimman (Sarath Babu) and the cunning plans by the uncle of Malasimman to capture the whole wealth which uncovers some mystery about Muthu.","[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Drama""}]",1995-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt9313004,Coat,"Madho and his father are pig farmers, of a low caste are not respected by the other villagers. One day he sees a foreigner being respected and because of his expensive coat. Determined Madho tries to acquire a coat that he cannot afford.","[{""name"": ""Drama""}, {""name"": ""Family""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0374660,Footpath,"Two friends of a man help him avenge his father's death. Years later, he reunites with his friends who have now become criminals. What they don't know, is that he is now an undercover cop.","[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",2003-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt5743888,Julie 2,"A simple girl rises to be a big star, but the story of her success is not without its dark side.","[{""name"": ""Drama""}, {""name"": ""Romance""}, {""name"": ""Thriller""}]",2017-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0104607,Khuda Gawah,"Baadshah Khan falls in love with Benazir, a member of a rival clan who has defeated him in a game of buzkashi.","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Drama""}]",1992-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0985636,Laaga Chunari Mein Daag: Journey of a Woman,A small town girl lands in big bad Mumbai to earn an honest living but faces a confrontation she would've never dreamt of in her wildest dreams.,"[{""name"": ""Drama""}, {""name"": ""Family""}, {""name"": ""Romance""}]",2007-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
